,Mean Return
AAPL,0.002540002484252032
ADBE,0.0013076898541108015
AMZN,0.0013498169595018027
BTC-USD,0.0015508662599243606
FB,0.0011173957200016126
GCF,0.0007015996632983225
IRX,-0.010629885439670403
MSFT,0.00166615981168582
NVDA,0.00329094998016901
QCOM,0.001899721829936292
TSLA,0.007276904681484722
TXN,0.0013797816120520424
