Asset,Weight
AAPL,0.0
ADBE,0.0
AMD,0.0
AMZN,0.0
BRK,0.4585155119305027
CVX,0.0
DIS,0.0
GOOGL,0.0
INTC,0.0
JNJ,0.0
KO,0.0
MA,0.0680030454362822
META,0.0773874793980179
MSFT,0.0
NFLX,0.0
NVDA,0.007993263655930118
PG,0.06524544117098525
TSLA,0.0
V,0.03217931845308187
XOM,0.2906759399551998
