Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Company
2022-07-19,147.92,151.23,146.91,151.0,148.977801904992,82982367,0.0,1.0,AAPL
2022-07-20,151.12,153.72,150.37,153.04,150.990482142649,64823413,0.0,1.0,AAPL
2022-07-21,154.5,155.57,151.94,155.35,153.269546529407,65086636,0.0,1.0,AAPL
2022-07-22,155.39,156.28,153.41,154.09,152.026420500266,66675408,0.0,1.0,AAPL
2022-07-25,154.01,155.04,152.28,152.95,150.901687426281,53623945,0.0,1.0,AAPL
2022-07-26,152.265,153.085,150.8,151.6,149.569766680773,55138691,0.0,1.0,AAPL
2022-07-27,152.58,157.33,152.16,156.79,154.690261991283,78620688,0.0,1.0,AAPL
2022-07-28,156.98,157.64,154.41,157.35,155.242762448679,81378731,0.0,1.0,AAPL
2022-07-29,161.24,163.63,159.5,162.51,160.333659520399,101786860,0.0,1.0,AAPL
2022-08-01,161.01,163.59,160.89,161.51,159.347051560763,67829379,0.0,1.0,AAPL
2022-08-02,160.1,162.41,159.63,160.01,157.86713962131,59907025,0.0,1.0,AAPL
2022-08-03,160.84,166.59,160.75,166.13,163.90518033428,82507488,0.0,1.0,AAPL
2022-08-04,166.005,167.19,164.43,165.81,163.589465787197,55474144,0.0,1.0,AAPL
2022-08-05,163.21,165.85,163.0,165.35,163.36254595648,56696985,0.23,1.0,AAPL
2022-08-08,166.37,167.81,164.2,164.87,162.888315402751,60362338,0.0,1.0,AAPL
2022-08-09,164.02,165.82,163.25,164.92,162.937714418765,63135503,0.0,1.0,AAPL
2022-08-10,167.68,169.34,166.9,169.24,167.205789402327,70170540,0.0,1.0,AAPL
2022-08-11,170.06,170.99,168.19,168.49,166.464804162125,57149159,0.0,1.0,AAPL
2022-08-12,169.82,172.17,169.4,172.1,170.031413118296,68039382,0.0,1.0,AAPL
2022-08-15,171.52,173.39,171.345,173.19,171.10831166739,54091694,0.0,1.0,AAPL
2022-08-16,172.78,173.71,171.6618,173.03,170.950234816146,56377050,0.0,1.0,AAPL
2022-08-17,172.77,176.15,172.57,174.55,172.451964902955,79542037,0.0,1.0,AAPL
2022-08-18,173.75,174.9,173.12,174.15,172.056772774848,62290075,0.0,1.0,AAPL
2022-08-19,173.03,173.74,171.3101,171.52,169.45838453254,70346295,0.0,1.0,AAPL
2022-08-22,169.69,169.86,167.135,167.57,165.555862267478,69026809,0.0,1.0,AAPL
2022-08-23,167.08,168.71,166.65,167.23,165.219948958586,54147079,0.0,1.0,AAPL
2022-08-24,167.32,168.11,166.245,167.53,165.516343054667,53841524,0.0,1.0,AAPL
2022-08-25,168.78,170.14,168.35,170.03,167.986293855339,51218209,0.0,1.0,AAPL
2022-08-26,170.57,171.05,163.56,163.62,161.653340002415,78960980,0.0,1.0,AAPL
2022-08-29,161.145,162.9,159.82,161.38,159.440264085013,72724452,0.0,1.0,AAPL
2022-08-30,162.13,162.56,157.72,158.91,156.999952693948,77906197,0.0,1.0,AAPL
2022-08-31,160.305,160.58,157.14,157.22,155.330265952693,87991091,0.0,1.0,AAPL
2022-09-01,156.64,158.42,154.67,157.96,156.061371389693,74229896,0.0,1.0,AAPL
2022-09-02,159.75,160.362,154.965,155.81,153.937213701114,76957768,0.0,1.0,AAPL
2022-09-06,156.47,157.09,153.69,154.53,152.67259889117,73295539,0.0,1.0,AAPL
2022-09-07,154.825,156.67,153.61,155.96,154.085410749155,87449574,0.0,1.0,AAPL
2022-09-08,154.64,156.36,152.68,154.46,152.603440268751,84923847,0.0,1.0,AAPL
2022-09-09,155.47,157.82,154.75,157.37,155.478463000734,68081006,0.0,1.0,AAPL
2022-09-12,159.59,164.26,159.3,163.43,161.465623741564,104955962,0.0,1.0,AAPL
2022-09-13,159.9,160.54,153.37,153.84,151.990892470184,122656614,0.0,1.0,AAPL
2022-09-14,154.785,157.1,153.6106,155.31,153.44322354098,87965409,0.0,1.0,AAPL
2022-09-15,154.65,155.24,151.38,152.37,150.538561399389,90481110,0.0,1.0,AAPL
2022-09-16,151.21,151.35,148.37,150.7,148.88863426454,162278841,0.0,1.0,AAPL
2022-09-19,149.31,154.56,149.1,154.48,152.623199875156,81474246,0.0,1.0,AAPL
2022-09-20,153.4,158.08,153.08,156.9,155.014112250207,107689796,0.0,1.0,AAPL
2022-09-21,157.34,158.74,153.6,153.72,151.872334831752,101696790,0.0,1.0,AAPL
2022-09-22,152.38,154.47,150.91,152.74,150.904114117888,86264792,0.0,1.0,AAPL
2022-09-23,151.19,151.47,148.56,150.43,148.621879578067,96029909,0.0,1.0,AAPL
2022-09-26,149.66,153.7701,149.64,150.77,148.957792886958,93339409,0.0,1.0,AAPL
2022-09-27,152.74,154.72,149.945,151.76,149.935893404025,84442741,0.0,1.0,AAPL
2022-09-28,147.64,150.6414,144.84,149.84,148.038971189108,146691387,0.0,1.0,AAPL
2022-09-29,146.1,146.72,140.68,142.48,140.767436031928,128138237,0.0,1.0,AAPL
2022-09-30,141.28,143.1,138.0,138.2,136.538880261177,124925274,0.0,1.0,AAPL
2022-10-03,138.21,143.07,137.685,142.45,140.73779662232,114311663,0.0,1.0,AAPL
2022-10-04,145.03,146.22,144.26,146.1,144.343924791302,87830064,0.0,1.0,AAPL
2022-10-05,144.075,147.38,143.01,146.4,144.640318887383,79470968,0.0,1.0,AAPL
2022-10-06,145.81,147.54,145.22,145.43,143.681977976722,68402169,0.0,1.0,AAPL
2022-10-07,142.54,143.1,139.445,140.09,138.406163066485,85925559,0.0,1.0,AAPL
2022-10-10,140.42,141.89,138.5729,140.42,138.732196572174,74899002,0.0,1.0,AAPL
2022-10-11,139.9,141.35,138.22,138.98,137.309504910987,77033672,0.0,1.0,AAPL
2022-10-12,139.13,140.36,138.16,138.34,136.677197506015,70433744,0.0,1.0,AAPL
2022-10-13,134.99,143.59,134.37,142.99,141.271305995265,113223975,0.0,1.0,AAPL
2022-10-14,144.31,144.52,138.19,138.38,136.716716718825,88597969,0.0,1.0,AAPL
