Company,Percentage Allocation
AMD,7.187258758548411
AMZN,3.6178964009193333
BRK.B,8.494864359658363
GOOGL,2.97587541522105
JNJ,2.732677654820961
MA,28.085384746594265
MSFT,14.876387660395343
NFLX,15.427846934881737
V,16.601808068960544
