Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-12-01,167.48,170.3,164.53,164.77,162.119121868238,152423003,0.0000,1.0
2021-12-02,158.735,164.2,157.8,163.76,161.125371106043,136739174,0.0000,1.0
2021-12-03,164.02,164.96,159.72,161.84,159.236260746226,118023116,0.0000,1.0
2021-12-06,164.29,167.8799,164.28,165.32,162.660273273394,107496982,0.0000,1.0
2021-12-07,169.08,171.58,168.34,171.18,168.425995517418,120405352,0.0000,1.0
2021-12-08,172.125,175.96,170.7,175.08,172.263250935796,116998901,0.0000,1.0
2021-12-09,174.91,176.75,173.92,174.56,171.751616880012,108923739,0.0000,1.0
2021-12-10,175.205,179.63,174.69,179.45,176.562944827671,115402731,0.0000,1.0
2021-12-13,181.115,182.13,175.53,175.74,172.912632621983,153237019,0.0000,1.0
2021-12-14,175.25,177.74,172.21,174.33,171.525317201493,139380382,0.0000,1.0
2021-12-15,175.11,179.5,172.3108,179.3,176.41535808081,131063257,0.0000,1.0
2021-12-16,179.28,181.14,170.75,172.26,169.488620094815,150185843,0.0000,1.0
2021-12-17,169.93,173.47,169.69,171.14,168.386639051589,195923441,0.0000,1.0
2021-12-20,168.28,170.58,167.46,169.75,167.019001864013,107499114,0.0000,1.0
2021-12-21,171.555,173.2,169.12,172.99,170.206875596204,91185905,0.0000,1.0
2021-12-22,173.04,175.86,172.15,175.64,172.814241457409,92135303,0.0000,1.0
2021-12-23,175.85,176.8499,175.27,176.28,173.443944910682,68356567,0.0000,1.0
2021-12-27,177.085,180.42,177.07,180.33,177.42878707592,74919582,0.0000,1.0
2021-12-28,180.16,181.33,178.53,179.29,176.405518964353,79144339,0.0000,1.0
2021-12-29,179.33,180.63,178.14,179.38,176.494071012469,62348931,0.0000,1.0
2021-12-30,179.47,180.57,178.09,178.2,175.333055270498,59773014,0.0000,1.0
2021-12-31,178.085,179.23,177.26,177.57,174.713190933684,61661433,0.0000,1.0
2022-01-03,177.83,182.88,177.71,182.01,179.08175864076,104701220,0.0000,1.0
2022-01-04,182.63,182.94,179.12,179.7,176.808922739105,99310438,0.0000,1.0
2022-01-05,179.61,180.17,174.64,174.92,172.105825072478,94537602,0.0000,1.0
2022-01-06,172.7,175.3,171.64,172.0,169.232803066923,96903955,0.0000,1.0
2022-01-07,172.89,174.14,171.03,172.17,169.400068046699,86709147,0.0000,1.0
2022-01-10,169.08,172.5,168.17,172.19,169.419746279613,106765552,0.0000,1.0
2022-01-11,172.32,175.18,170.82,175.08,172.263250935796,75937685,0.0000,1.0
2022-01-12,176.12,177.18,174.82,175.53,172.706011176378,74805173,0.0000,1.0
2022-01-13,175.78,176.62,171.79,172.19,169.419746279613,84505760,0.0000,1.0
2022-01-14,171.34,173.78,171.09,173.07,170.285588527863,80440780,0.0000,1.0
2022-01-18,171.51,172.54,169.405,169.8,167.0681974463,90500236,0.0000,1.0
2022-01-19,170.0,171.08,165.94,166.23,163.555632871015,92914792,0.0000,1.0
2022-01-20,166.98,169.68,164.18,164.51,161.863304840346,91420515,0.0000,1.0
2022-01-21,164.415,166.33,162.3,162.41,159.797090384297,122848858,0.0000,1.0
