Date,AAPL,ADBE,AMZN,BTC-USD,FB,GCF,IRX,MSFT,NVDA,QCOM,TSLA,TXN
2019-05-31,42.8975715637207,270.8999938964844,1775.0699462890625,8574.501953125,177.47000122070312,1305.800048828125,2.2929999828338623,121.00494384765624,33.73149871826172,62.93769836425781,37.03200149536133,98.2782745361328
2019-06-03,42.4638671875,259.0299987792969,1692.68994140625,8208.9951171875,164.14999389648438,1322.699951171875,2.2799999713897705,117.24799346923828,33.31315231323242,62.78699493408203,35.79399871826172,99.08855438232422
2019-06-04,44.01735305786133,268.7099914550781,1729.56005859375,7707.77099609375,167.5,1323.4000244140625,2.2950000762939453,120.49618530273438,35.60906982421875,64.47299194335938,38.720001220703125,102.81013488769533
2019-06-05,44.72793960571289,272.8599853515625,1738.5,7824.2314453125,168.1699981689453,1328.300048828125,2.2850000858306885,123.10843658447266,35.180755615234375,63.70308303833008,39.31800079345703,103.14932250976562
2019-06-06,45.38462448120117,274.79998779296875,1754.3599853515625,7822.0234375,168.3300018310547,1337.5999755859375,2.255000114440918,125.05538940429688,35.80329132080078,64.244873046875,41.189998626708984,103.8182601928711
2019-06-07,46.59263229370117,278.1600036621094,1804.030029296875,8043.951171875,173.35000610351562,1341.199951171875,2.2149999141693115,128.55795288085938,36.23160171508789,65.29043579101562,40.900001525878906,104.74159240722656
2019-06-10,47.18806076049805,280.3399963378906,1860.6300048828125,8000.32958984375,174.82000732421875,1324.699951171875,2.2200000286102295,129.73202514648438,36.96121597290039,67.04888153076172,42.57600021362305,106.1171646118164
2019-06-11,47.734474182128906,275.989990234375,1863.699951171875,7927.71435546875,178.10000610351562,1326.4000244140625,2.2130000591278076,129.24281311035156,37.53893280029297,67.71422576904297,43.41999816894531,106.39982604980467
2019-06-12,47.58255386352539,276.8399963378906,1855.3199462890625,8145.857421875,175.0399932861328,1331.9000244140625,2.1649999618530273,128.64602661132812,36.405914306640625,66.1458740234375,41.85200119018555,103.95958709716795
2019-06-13,47.572757720947266,276.29998779296875,1870.300048828125,8230.923828125,177.47000122070312,1339.199951171875,2.140000104904175,129.45806884765625,36.91888427734375,66.46906280517578,42.78200149536133,104.75101470947266
2019-06-14,47.227264404296875,274.2799987792969,1869.6700439453125,8693.8330078125,181.3300018310547,1340.0999755859375,2.125,129.5852508544922,36.0174560546875,65.3189468383789,42.98400115966797,101.10479736328124
2019-06-17,47.5090446472168,275.6000061035156,1886.030029296875,9320.3525390625,189.0099945068359,1338.699951171875,2.138000011444092,129.9766082763672,36.11456298828125,65.68964385986328,45.00600051879883,100.5489273071289
2019-06-18,48.62639617919922,276.7799987792969,1901.3699951171875,9081.7626953125,188.47000122070312,1346.5999755859375,2.1679999828338623,132.23663330078125,38.06932830810547,68.39859008789062,44.948001861572266,104.61911010742188
2019-06-19,48.48426818847656,291.2099914550781,1908.7900390625,9273.521484375,187.47999572753903,1344.5999755859375,2.125,132.75518798828125,38.12908935546875,68.24650573730469,45.2859992980957,104.86408996582033
2019-06-20,48.87387466430664,302.1099853515625,1918.18994140625,9527.16015625,189.52999877929688,1392.9000244140625,2.078000068664551,133.98788452148438,38.37312698364258,69.1399917602539,43.92399978637695,106.19253540039062
2019-06-21,48.70724868774414,299.3299865722656,1911.300048828125,10144.556640625,191.13999938964844,1396.199951171875,2.055000066757202,134.00747680664062,37.790428161621094,69.12097930908203,44.37200164794922,105.82508850097656
2019-06-24,48.65824508666992,299.8699951171875,1913.9000244140625,11011.1025390625,192.6000061035156,1414.300048828125,2.058000087738037,134.79995727539062,38.01455307006836,69.5392074584961,44.72800064086914,106.21138763427734
2019-06-25,47.92070388793945,287.9700012207031,1878.27001953125,11790.9169921875,188.83999633789065,1414.9000244140625,2.0829999446868896,130.54403686523438,37.72071075439453,68.95939636230469,43.95199966430664,105.0336685180664
2019-06-26,48.957183837890625,288.7200012207031,1897.8299560546875,13016.2314453125,187.66000366210935,1411.5999755859375,2.0929999351501465,131.0332489013672,39.65803909301758,71.24060821533203,43.854000091552734,107.81309509277344
2019-06-27,48.94247817993164,293.2300109863281,1904.280029296875,11182.806640625,189.5,1408.4000244140625,2.0850000381469727,131.2484588623047,40.64663314819336,71.69686889648438,44.56800079345703,109.16038513183594
2019-06-28,48.49652099609375,294.6499938964844,1893.6300048828125,12407.33203125,193.0,1409.699951171875,2.0350000858306885,131.06259155273438,40.89564514160156,72.30519104003906,44.69200134277344,108.12400817871094
2019-07-01,49.385982513427734,300.9700012207031,1922.18994140625,10583.134765625,193.0,1385.5999755859375,2.065000057220459,132.74539184570312,41.37873077392578,73.68342590332031,45.43399810791016,110.41348266601562
2019-07-02,49.67512130737305,301.3900146484375,1934.31005859375,10801.677734375,195.0,1404.5999755859375,2.1480000019073486,133.6259002685547,40.39760971069336,73.19866943359375,44.90999984741211,109.34882354736328
2019-07-05,50.042667388916016,303.9800109863281,1942.9100341796875,10978.4599609375,196.3999938964844,1396.699951171875,2.163000106811523,134.0955352783203,39.89958572387695,72.8659896850586,46.619998931884766,109.0567626953125
2019-07-08,49.011085510253906,302.9200134277344,1952.3199462890625,12285.9580078125,195.7599945068359,1397.0,2.177999973297119,133.99771118164062,39.147560119628906,72.83746337890625,46.06800079345703,108.28416442871094
2019-07-09,49.31003189086914,304.20001220703125,1988.300048828125,12573.8125,199.2100067138672,1397.5,2.194999933242798,133.50851440429688,39.172462463378906,72.76142883300781,46.012001037597656,109.08502197265624
